#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DOSECAT;DRUG;DRUGCAT;EXPERIMENT;BW;YTV;KA;V;KE;w0;I
31;23;.;.;.;2056.392;2;.;1;6.25;6.25;1;1;2;27.7;2056.392;55;0.1286;7.6523;164.152;0
31;21;.;.;.;1617.408;2;.;1;6.25;6.25;1;1;2;27.6;1617.408;55;0.1286;7.6523;164.152;0
31;18;.;.;.;1292.832;2;.;1;6.25;6.25;1;1;2;27.6;1292.832;55;0.1286;7.6523;164.152;0
31;16;.;.;.;898.098;2;.;1;6.25;6.25;1;1;2;27.8;898.098;55;0.1286;7.6523;164.152;0
31;14;.;.;.;736.622;2;.;1;6.25;6.25;1;1;2;26.6;736.622;55;0.1286;7.6523;164.152;0
31;11;.;.;.;568.458;2;.;1;6.25;6.25;1;1;2;25.3;568.458;55;0.1286;7.6523;164.152;0
31;9;.;.;.;487.35;2;.;1;6.25;6.25;1;1;2;26.8;487.35;55;0.1286;7.6523;164.152;0
31;7;.;.;.;478.325;2;.;1;6.25;6.25;1;1;2;25.5;478.325;55;0.1286;7.6523;164.152;0
31;4;.;.;.;451.25;2;.;1;6.25;6.25;1;1;2;25.4;451.25;55;0.1286;7.6523;164.152;0
31;2;.;.;.;191.558;2;.;1;6.25;6.25;1;1;2;21.1;191.558;55;0.1286;7.6523;164.152;0
34;3;675;.;.;.;.;.;1;25;25;1;1;2;26.9;.;55;0.13289;9.5935;165.292;0
34;4;700;2;1;.;.;.;1;25;25;1;1;2;28;.;55;0.13289;9.5935;165.292;0
34;7;700;1;1;.;.;.;1;25;25;1;1;2;27.7;.;55;0.13289;9.5935;165.292;0
34;9;700;1;1;.;.;.;1;25;25;1;1;2;27.9;.;55;0.13289;9.5935;165.292;0
34;11;675;2;1;.;.;.;1;25;25;1;1;2;26.6;.;55;0.13289;9.5935;165.292;0
34;14;675;1;1;.;.;.;1;25;25;1;1;2;27.2;.;55;0.13289;9.5935;165.292;0
34;16;675;.;.;.;.;.;1;25;25;1;1;2;27.1;.;55;0.13289;9.5935;165.292;0
34;0;.;.;.;165.292;2;.;1;25;25;1;1;2;27.7;.;55;0.13289;9.5935;165.292;0
34;30;.;.;.;1618.5435;2;.;1;25;25;1;1;2;27;1618.5435;55;0.13289;9.5935;165.292;0
34;28;.;.;.;1521;2;.;1;25;25;1;1;2;26.2;1521;55;0.13289;9.5935;165.292;0
34;25;.;.;.;1368.464;2;.;1;25;25;1;1;2;26.4;1368.464;55;0.13289;9.5935;165.292;0
34;23;.;.;.;1196.6045;2;.;1;25;25;1;1;2;26.9;1196.6045;55;0.13289;9.5935;165.292;0
34;21;.;.;.;1064.6125;2;.;1;25;25;1;1;2;27;1064.6125;55;0.13289;9.5935;165.292;0
34;18;.;.;.;814.61;2;.;1;25;25;1;1;2;27;814.61;55;0.13289;9.5935;165.292;0
34;16;.;.;.;633.864;2;.;1;25;25;1;1;2;27.1;633.864;55;0.13289;9.5935;165.292;0
34;14;.;.;.;595.448;2;.;1;25;25;1;1;2;27.2;595.448;55;0.13289;9.5935;165.292;0
34;11;.;.;.;571.392;2;.;1;25;25;1;1;2;26.6;571.392;55;0.13289;9.5935;165.292;0
34;9;.;.;.;396.1175;2;.;1;25;25;1;1;2;27.9;396.1175;55;0.13289;9.5935;165.292;0
34;7;.;.;.;389.2285;2;.;1;25;25;1;1;2;27.7;389.2285;55;0.13289;9.5935;165.292;0
34;4;.;.;.;292.5;2;.;1;25;25;1;1;2;28;292.5;55;0.13289;9.5935;165.292;0
34;2;.;.;.;217.328;2;.;1;25;25;1;1;2;26.9;217.328;55;0.13289;9.5935;165.292;0
38;0;.;.;.;39.5035;2;.;1;6.25;6.25;1;1;2;27.2;.;55;0.11108;8.2503;39.5035;0
38;3;168.75;.;.;.;.;.;1;6.25;6.25;1;1;2;27.3;.;55;0.11108;8.2503;39.5035;0
38;4;168.75;2;1;.;.;.;1;6.25;6.25;1;1;2;26.7;.;55;0.11108;8.2503;39.5035;0
38;7;168.75;1;1;.;.;.;1;6.25;6.25;1;1;2;26.9;.;55;0.11108;8.2503;39.5035;0
38;9;168.75;1;1;.;.;.;1;6.25;6.25;1;1;2;27.1;.;55;0.11108;8.2503;39.5035;0
38;11;168.75;2;1;.;.;.;1;6.25;6.25;1;1;2;26.8;.;55;0.11108;8.2503;39.5035;0
38;14;168.75;1;1;.;.;.;1;6.25;6.25;1;1;2;27.2;.;55;0.11108;8.2503;39.5035;0
38;16;168.75;.;.;.;.;.;1;6.25;6.25;1;1;2;27.1;.;55;0.11108;8.2503;39.5035;0
38;30;.;.;.;1002.472;2;.;1;6.25;6.25;1;1;2;30.2;1002.472;55;0.11108;8.2503;39.5035;0
38;28;.;.;.;805.792;2;.;1;6.25;6.25;1;1;2;29.3;805.792;55;0.11108;8.2503;39.5035;0
38;25;.;.;.;703.04;2;.;1;6.25;6.25;1;1;2;28.6;703.04;55;0.11108;8.2503;39.5035;0
38;23;.;.;.;645.048;2;.;1;6.25;6.25;1;1;2;28.7;645.048;55;0.11108;8.2503;39.5035;0
38;21;.;.;.;541.0175;2;.;1;6.25;6.25;1;1;2;29.1;541.0175;55;0.11108;8.2503;39.5035;0
38;18;.;.;.;394.944;2;.;1;6.25;6.25;1;1;2;26.8;394.944;55;0.11108;8.2503;39.5035;0
38;16;.;.;.;322.752;2;.;1;6.25;6.25;1;1;2;27.1;322.752;55;0.11108;8.2503;39.5035;0
38;14;.;.;.;264.654;2;.;1;6.25;6.25;1;1;2;27.2;264.654;55;0.11108;8.2503;39.5035;0
38;11;.;.;.;212.544;2;.;1;6.25;6.25;1;1;2;26.8;212.544;55;0.11108;8.2503;39.5035;0
38;9;.;.;.;202.176;2;.;1;6.25;6.25;1;1;2;27.1;202.176;55;0.11108;8.2503;39.5035;0
38;7;.;.;.;156.816;2;.;1;6.25;6.25;1;1;2;26.9;156.816;55;0.11108;8.2503;39.5035;0
38;4;.;.;.;120.6;2;.;1;6.25;6.25;1;1;2;26.7;120.6;55;0.11108;8.2503;39.5035;0
38;2;.;.;.;84.27;2;.;1;6.25;6.25;1;1;2;27.3;84.27;55;0.11108;8.2503;39.5035;0
40;0;.;.;.;191.808;2;.;1;0;0;2;0;2;26.8;.;55;1.4;3.87;191.808;0.0077169
40;3;0;.;.;.;.;.;1;0;0;2;0;2;26.1;.;55;1.4;3.87;191.808;0.0077169
40;4;0;2;1;.;.;.;1;0;0;2;0;2;26.5;.;55;1.4;3.87;191.808;0.0077169
40;7;0;1;1;.;.;.;1;0;0;2;0;2;26.5;.;55;1.4;3.87;191.808;0.0077169
40;9;0;1;1;.;.;.;1;0;0;2;0;2;27.1;.;55;1.4;3.87;191.808;0.0077169
40;11;0;2;1;.;.;.;1;0;0;2;0;2;26;.;55;1.4;3.87;191.808;0.0077169
40;14;0;1;1;.;.;.;1;0;0;2;0;2;26.4;.;55;1.4;3.87;191.808;0.0077169
40;16;0;.;.;.;.;.;1;0;0;2;0;2;26;.;55;1.4;3.87;191.808;0.0077169
40;21;.;.;.;2276.736;2;.;1;0;0;2;0;2;26.2;2276.736;55;1.4;3.87;191.808;0.0077169
40;18;.;.;.;1752.192;2;.;1;0;0;2;0;2;25.4;1752.192;55;1.4;3.87;191.808;0.0077169
40;16;.;.;.;1669.248;2;.;1;0;0;2;0;2;26;1669.248;55;1.4;3.87;191.808;0.0077169
40;14;.;.;.;1470.432;2;.;1;0;0;2;0;2;26.4;1470.432;55;1.4;3.87;191.808;0.0077169
40;11;.;.;.;1119.258;2;.;1;0;0;2;0;2;26;1119.258;55;1.4;3.87;191.808;0.0077169
40;9;.;.;.;915.008;2;.;1;0;0;2;0;2;27.1;915.008;55;1.4;3.87;191.808;0.0077169
40;7;.;.;.;668.367;2;.;1;0;0;2;0;2;26.5;668.367;55;1.4;3.87;191.808;0.0077169
40;4;.;.;.;330.672;2;.;1;0;0;2;0;2;26.5;330.672;55;1.4;3.87;191.808;0.0077169
40;2;.;.;.;249.158;2;.;1;0;0;2;0;2;26.1;249.158;55;1.4;3.87;191.808;0.0077169
41;0;.;.;.;132.9615;2;.;1;25;25;2;2;2;23.9;.;55;1.3941;2.2989;132.9615;0.0077169
41;3;600;.;.;.;.;.;1;25;25;2;2;2;24.3;.;55;1.3941;2.2989;132.9615;0.0077169
41;4;600;2;1;.;.;.;1;25;25;2;2;2;23.8;.;55;1.3941;2.2989;132.9615;0.0077169
41;7;600;1;1;.;.;.;1;25;25;2;2;2;23.8;.;55;1.3941;2.2989;132.9615;0.0077169
41;9;600;1;1;.;.;.;1;25;25;2;2;2;24.1;.;55;1.3941;2.2989;132.9615;0.0077169
41;11;575;2;1;.;.;.;1;25;25;2;2;2;22.6;.;55;1.3941;2.2989;132.9615;0.0077169
41;14;600;1;1;.;.;.;1;25;25;2;2;2;23.8;.;55;1.3941;2.2989;132.9615;0.0077169
41;16;575;.;.;.;.;.;1;25;25;2;2;2;23.3;.;55;1.3941;2.2989;132.9615;0.0077169
41;30;.;.;.;2021.6;2;.;1;25;25;2;2;2;24.9;2021.6;55;1.3941;2.2989;132.9615;0.0077169
41;28;.;.;.;1783.296;2;.;1;25;25;2;2;2;24.9;1783.296;55;1.3941;2.2989;132.9615;0.0077169
41;25;.;.;.;1494.954;2;.;1;25;25;2;2;2;24.9;1494.954;55;1.3941;2.2989;132.9615;0.0077169
