#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
31;14;.;.;.;.;.;.;1;6.25;1;2;736.622;26.6
31;14;168.75;1;1;.;.;.;1;6.25;1;2;736.622;26.6
31;16;.;.;.;.;.;.;1;6.25;1;2;898.098;27.8
31;16;175;.;.;.;.;.;1;6.25;1;2;898.098;27.8
31;16.04027778;.;.;.;1240;1;.;1;6.25;1;2;898.098;27.8
31;18;.;.;.;.;.;.;1;6.25;1;2;1292.832;27.6
31;21;.;.;.;.;.;.;1;6.25;1;2;1617.408;27.6
31;23;.;.;.;.;.;.;1;6.25;1;2;2056.392;27.7
38;0;.;.;.;.;.;.;1;6.25;1;2;39.5035;27.2
38;2;.;.;.;.;.;.;1;6.25;1;2;84.27;27.3
38;3;168.75;.;.;.;.;.;1;6.25;1;2;84.27;27.3
38;4;.;.;.;.;.;.;1;6.25;1;2;120.6;26.7
38;4;168.75;2;1;.;.;.;1;6.25;1;2;120.6;26.7
38;7;.;.;.;.;.;.;1;6.25;1;2;156.816;26.9
38;7;168.75;1;1;.;.;.;1;6.25;1;2;156.816;26.9
38;9;.;.;.;.;.;.;1;6.25;1;2;202.176;27.1
38;9;168.75;1;1;.;.;.;1;6.25;1;2;202.176;27.1
38;11;.;.;.;.;.;.;1;6.25;1;2;212.544;26.8
38;11;168.75;2;1;.;.;.;1;6.25;1;2;212.544;26.8
38;11;.;.;.;0.952;1;1;1;6.25;1;2;212.544;26.8
38;14;.;.;.;.;.;.;1;6.25;1;2;264.654;27.2
38;14;168.75;1;1;.;.;.;1;6.25;1;2;264.654;27.2
38;16;.;.;.;.;.;.;1;6.25;1;2;322.752;27.1
38;16;168.75;.;.;.;.;.;1;6.25;1;2;322.752;27.1
38;16.10208333;.;.;.;1290;1;.;1;6.25;1;2;322.752;27.1
38;18;.;.;.;.;.;.;1;6.25;1;2;394.944;26.8
38;21;.;.;.;.;.;.;1;6.25;1;2;541.0175;29.1
38;23;.;.;.;.;.;.;1;6.25;1;2;645.048;28.7
38;25;.;.;.;.;.;.;1;6.25;1;2;703.04;28.6
38;28;.;.;.;.;.;.;1;6.25;1;2;805.792;29.3
38;30;.;.;.;.;.;.;1;6.25;1;2;1002.472;30.2
98;0;.;.;.;.;.;.;1;6.25;1;2;183.2985;27.1
98;2;.;.;.;.;.;.;1;6.25;1;2;269.001;28
98;3;175;.;.;.;.;.;1;6.25;1;2;269.001;28
98;4;.;.;.;.;.;.;1;6.25;1;2;374.6655;27
